V1,V2,V3
-138.546278317152,47.4066235864297,-4181.60498046875
-138.379126213592,47.4066235864297,-4180.955078125
-138.211974110032,47.4066235864297,-4173.55517578125
-138.044822006472,47.4066235864297,-4159.96484375
-137.877669902913,47.4066235864297,-4141.7548828125
-137.710517799353,47.4066235864297,-4143.27490234375
-137.543365695793,47.4066235864297,-4138.39501953125
-137.376213592233,47.4066235864297,-4137.48486328125
-137.209061488673,47.4066235864297,-4138.64013671875
-137.041909385113,47.4066235864297,-4129.02001953125
-136.874757281553,47.4066235864297,-4127.97021484375
-136.707605177994,47.4066235864297,-4108.3701171875
-136.540453074434,47.4066235864297,-4021.2099609375
-136.373300970874,47.4066235864297,-4109.830078125
-136.206148867314,47.4066235864297,-4129.84716796875
-136.038996763754,47.4066235864297,-4130.9873046875
-135.871844660194,47.4066235864297,-4127.71728515625
-135.704692556634,47.4066235864297,-4148.75732421875
-135.537540453074,47.4066235864297,-4129.0673828125
-135.370388349515,47.4066235864297,-4122.8076171875
-135.203236245955,47.4066235864297,-3993.42407226562
-135.036084142395,47.4066235864297,-4037.07397460938
-134.868932038835,47.4066235864297,-4019.67407226562
-134.701779935275,47.4066235864297,-4053.05395507812
-134.534627831715,47.4066235864297,-4017.333984375
-134.367475728155,47.4066235864297,-4006.17407226562
-134.200323624595,47.4066235864297,-3925.9140625
-134.033171521036,47.4066235864297,-3866.75073242188
-133.866019417476,47.4066235864297,-3773.83056640625
-133.698867313916,47.4066235864297,-3672.45068359375
-133.531715210356,47.4066235864297,-3729.05053710938
-133.364563106796,47.4066235864297,-3699.13061523438
-133.197411003236,47.4066235864297,-3558.45068359375
-133.030258899676,47.4066235864297,-3485.09765625
-132.863106796117,47.4066235864297,-3376.78759765625
-132.695954692557,47.4066235864297,-3096.3876953125
-132.528802588997,47.4066235864297,-3176.40771484375
-132.361650485437,47.4066235864297,-3191.64770507812
-132.194498381877,47.4066235864297,-3162.24755859375
-132.027346278317,47.4066235864297,-3219.79760742188
-131.860194174757,47.4066235864297,-3082.9375
-131.693042071197,47.4066235864297,-2897.00756835938
-131.525889967638,47.4066235864297,-2749.81762695312
-131.358737864078,47.4066235864297,-2864.35766601562
-131.191585760518,47.4066235864297,-2992.58764648438
-131.024433656958,47.4066235864297,-2920.24755859375
-130.857281553398,47.4066235864297,-2858.93896484375
-130.690129449838,47.4066235864297,-2829.5791015625
-130.522977346278,47.4066235864297,-2747.62915039062
-130.355825242718,47.4066235864297,-2794.54907226562
-130.188673139159,47.4066235864297,-2871.84912109375
-130.021521035599,47.4066235864297,-2800.84912109375
-129.854368932039,47.4066235864297,-2752.25512695312
-129.687216828479,47.4066235864297,-2783.4150390625
-129.520064724919,47.4066235864297,-2746.47509765625
-129.352912621359,47.4066235864297,-2650.76513671875
-129.185760517799,47.4066235864297,-2599.10498046875
-129.018608414239,47.4066235864297,-2619.01513671875
-128.85145631068,47.4066235864297,-2618.6650390625
-128.68430420712,47.4066235864297,-2672.3349609375
-128.51715210356,47.4066235864297,-2715.79516601562
-128.35,47.4066235864297,-2707.4951171875
-128.18284789644,47.4066235864297,-2710.61499023438
-128.01569579288,47.4066235864297,-2671.27514648438
-127.84854368932,47.4066235864297,-2680.47509765625
-127.681391585761,47.4066235864297,-2668.71069335938
-127.514239482201,47.4066235864297,-2641.98071289062
-127.347087378641,47.4066235864297,-2627.08081054688
-127.179935275081,47.4066235864297,-2610.470703125
-127.012783171521,47.4066235864297,-2575.10083007812
-126.845631067961,47.4066235864297,-2566.86083984375
-126.678478964401,47.4066235864297,-2529.720703125
-126.511326860841,47.4066235864297,-2499.73266601562
-126.344174757282,47.4066235864297,-2474.16259765625
-126.177022653722,47.4066235864297,-2463.15258789062
-126.009870550162,47.4066235864297,-2075.392578125
-125.842718446602,47.4066235864297,-1734.1826171875
